flightNumber,departureAirportFsCode,arrivalAirportFsCode,departureTime,arrivalTime,stops,departureTerminal,arrivalTerminal
1007,MAD,BCN,2023-04-23 18:25:00,2023-04-23 19:45:00,0,4,1
5005,MAD,BCN,2023-04-23 18:25:00,2023-04-23 19:45:00,0,4,1
3546,MAD,BCN,2023-04-23 18:25:00,2023-04-23 19:45:00,0,4,1
7703,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
9459,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
6184,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
6808,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
4366,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
6771,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
2703,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
6653,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
6082,MAD,BCN,2023-04-23 15:10:00,2023-04-23 16:35:00,0,2,1
1005,MAD,BCN,2023-04-23 13:40:00,2023-04-23 15:00:00,0,4,1
5003,MAD,BCN,2023-04-23 13:40:00,2023-04-23 15:00:00,0,4,1
3502,MAD,BCN,2023-04-23 13:40:00,2023-04-23 15:00:00,0,4,1
1009,MAD,BCN,2023-04-23 22:35:00,2023-04-23 23:55:00,0,4,1
5007,MAD,BCN,2023-04-23 22:35:00,2023-04-23 23:55:00,0,4,1
3506,MAD,BCN,2023-04-23 22:35:00,2023-04-23 23:55:00,0,4,1
7701,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
7444,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
6651,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
6768,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
6896,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
7322,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
4302,MAD,BCN,2023-04-23 07:30:00,2023-04-23 08:55:00,0,2,1
3012,MAD,BCN,2023-04-23 11:30:00,2023-04-23 12:50:00,0,4,1
6089,MAD,BCN,2023-04-23 11:30:00,2023-04-23 12:50:00,0,4,1
5095,MAD,BCN,2023-04-23 11:30:00,2023-04-23 12:50:00,0,4,1
5031,MAD,BCN,2023-04-23 11:30:00,2023-04-23 12:50:00,0,4,1
8613,MAD,BCN,2023-04-23 11:30:00,2023-04-23 12:50:00,0,4,1
1003,MAD,BCN,2023-04-23 13:30:00,2023-04-23 14:50:00,0,4,1
5001,MAD,BCN,2023-04-23 13:30:00,2023-04-23 14:50:00,0,4,1
3608,MAD,BCN,2023-04-23 13:30:00,2023-04-23 14:50:00,0,4,1
3026,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
6072,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
6918,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
5010,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
5063,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
1526,MAD,BCN,2023-04-23 19:00:00,2023-04-23 20:20:00,0,4,1
3018,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
8782,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
5058,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
5004,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
5331,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
1523,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
6076,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
6894,MAD,BCN,2023-04-23 16:00:00,2023-04-23 17:20:00,0,4,1
3014,MAD,BCN,2023-04-23 12:25:00,2023-04-23 13:45:00,0,4,1
6146,MAD,BCN,2023-04-23 12:25:00,2023-04-23 13:45:00,0,4,1
5050,MAD,BCN,2023-04-23 12:25:00,2023-04-23 13:45:00,0,4,1
3010,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
6078,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
7246,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
8781,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
5116,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
1624,MAD,BCN,2023-04-23 09:05:00,2023-04-23 10:25:00,0,4,1
3030,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
5338,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
6083,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
6924,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
9402,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
5079,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
1528,MAD,BCN,2023-04-23 20:00:00,2023-04-23 21:20:00,0,4,1
3022,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
6018,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
6895,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
1525,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
5061,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
5008,MAD,BCN,2023-04-23 17:30:00,2023-04-23 18:50:00,0,4,1
7995,MAD,BCN,2023-04-23 16:45:00,2023-04-23 18:00:00,0,2,1
3002,MAD,BCN,2023-04-23 07:00:00,2023-04-23 08:20:00,0,4,1
6029,MAD,BCN,2023-04-23 07:00:00,2023-04-23 08:20:00,0,4,1
5571,MAD,BCN,2023-04-23 07:00:00,2023-04-23 08:20:00,0,4,1
1518,MAD,BCN,2023-04-23 07:00:00,2023-04-23 08:20:00,0,4,1
5006,MAD,BCN,2023-04-23 07:00:00,2023-04-23 08:20:00,0,4,1
3034,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
5575,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
6927,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
9403,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
5091,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
1530,MAD,BCN,2023-04-23 21:35:00,2023-04-23 22:55:00,0,4,1
3002,MAD,BCN,2023-04-24 07:00:00,2023-04-24 08:20:00,0,4,1
6029,MAD,BCN,2023-04-24 07:00:00,2023-04-24 08:20:00,0,4,1
5571,MAD,BCN,2023-04-24 07:00:00,2023-04-24 08:20:00,0,4,1
1518,MAD,BCN,2023-04-24 07:00:00,2023-04-24 08:20:00,0,4,1
5006,MAD,BCN,2023-04-24 07:00:00,2023-04-24 08:20:00,0,4,1
